date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:34:18	105394/105394	---M-Z	200	added ('OK')	text/html	etag:W/%2219bb2-Gey1sCPXM7Pyq0GaNUP9foj/Hn0%22	https://m.bild.de/unterhaltung/stars-und-leute/tim-maelzer-spricht-ueber-den-ploetzlichen-tod-seines-papas-er-starb-ohne-erklaerung-66a5edfadfae2b64e0a739ed?t_ref=https%3A%2F%2Fwww.bild.de%2Funterhaltung%2Fstars-und-leute%2Ftim-maelzer-spricht-ueber-den-ploetzlichen-tod-seines-papas-er-starb-ohne-erklaerung-66a5edfadfae2b64e0a739ed	C:/My%20Web%20Sites/bild/m.bild.de/unterhaltung/stars-und-leute/tim-maelzer-spricht-ueber-den-ploetzlichen-tod-seines-papas-er-starb-ohne-erklaerung-66a5edfadfae2b64e0a739ed6b07.html	(from )
20:34:18	655/655	---M-Z	200	added ('OK')	text/plain	etag:W/%22d07081771c366aab2e370aa43fb2c8ac%22	https://m.bild.de/robots.txt		(from )
20:34:19	226018/226018	---M-Z	200	added ('OK')	text/css	etag:%22e665fe70e88e49c12eb30f3e7fb5db08:1721905525.437601%22	https://article.bildstatic.de/assets/static/pages.ins3GHsW.css	C:/My%20Web%20Sites/bild/article.bildstatic.de/assets/static/pages.ins3GHsW.css	(from https://m.bild.de/unterhaltung/stars-und-leute/tim-maelzer-spricht-ueber-den-ploetzlichen-tod-seines-papas-er-starb-ohne-erklaerung-66a5edfadfae2b64e0a739ed?t_ref=https%3A%2F%2Fwww.bild.de%2Funterhaltung%2Fstars-und-leute%2Ftim-maelzer-spricht-ueber-den-ploetzlichen-tod-seines-papas-er-starb-ohne-erklaerung-66a5edfadfae2b64e0a739ed)
20:34:20	131763/131763	---MCZ	200	added ('OK')	text/javascript	etag:W/%22614d1a5043fbedabab7a77a278247fe8%22	https://cmp2.bild.de/unified/wrapperMessagingWithoutDetection.js	C:/My%20Web%20Sites/bild/cmp2.bild.de/unified/wrapperMessagingWithoutDetection.js	(from https://m.bild.de/unterhaltung/stars-und-leute/tim-maelzer-spricht-ueber-den-ploetzlichen-tod-seines-papas-er-starb-ohne-erklaerung-66a5edfadfae2b64e0a739ed?t_ref=https%3A%2F%2Fwww.bild.de%2Funterhaltung%2Fstars-und-leute%2Ftim-maelzer-spricht-ueber-den-ploetzlichen-tod-seines-papas-er-starb-ohne-erklaerung-66a5edfadfae2b64e0a739ed)
20:34:20	78739/78739	---M-Z	200	added ('OK')	application/x-javascript	etag:%2205af63c5f568c9403cc0075b4d634579:1721655750.897736%22	https://www.asadcdn.com/adlib/pages/bild.js	C:/My%20Web%20Sites/bild/www.asadcdn.com/adlib/pages/bild.js	(from https://m.bild.de/unterhaltung/stars-und-leute/tim-maelzer-spricht-ueber-den-ploetzlichen-tod-seines-papas-er-starb-ohne-erklaerung-66a5edfadfae2b64e0a739ed?t_ref=https%3A%2F%2Fwww.bild.de%2Funterhaltung%2Fstars-und-leute%2Ftim-maelzer-spricht-ueber-den-ploetzlichen-tod-seines-papas-er-starb-ohne-erklaerung-66a5edfadfae2b64e0a739ed)
20:34:21	1679/1679	---M--	200	added ('OK')	image/png	etag:%22bb561806c7fb97a9f6de645a0d3ba1f1:1721918406.218975%22	https://article.bildstatic.de/assets/static/android-chrome-192x192.dsA5ov3H.png	C:/My%20Web%20Sites/bild/article.bildstatic.de/assets/static/android-chrome-192x192.dsA5ov3H.png	(from https://m.bild.de/unterhaltung/stars-und-leute/tim-maelzer-spricht-ueber-den-ploetzlichen-tod-seines-papas-er-starb-ohne-erklaerung-66a5edfadfae2b64e0a739ed?t_ref=https%3A%2F%2Fwww.bild.de%2Funterhaltung%2Fstars-und-leute%2Ftim-maelzer-spricht-ueber-den-ploetzlichen-tod-seines-papas-er-starb-ohne-erklaerung-66a5edfadfae2b64e0a739ed)
20:34:21	456/456	---M--	200	added ('OK')	image/png	etag:%229fe07e2af86952897b2f2748be9860d7:1721381583.556929%22	https://article.bildstatic.de/assets/static/favicon-16x16.Vh678i4v.png	C:/My%20Web%20Sites/bild/article.bildstatic.de/assets/static/favicon-16x16.Vh678i4v.png	(from https://m.bild.de/unterhaltung/stars-und-leute/tim-maelzer-spricht-ueber-den-ploetzlichen-tod-seines-papas-er-starb-ohne-erklaerung-66a5edfadfae2b64e0a739ed?t_ref=https%3A%2F%2Fwww.bild.de%2Funterhaltung%2Fstars-und-leute%2Ftim-maelzer-spricht-ueber-den-ploetzlichen-tod-seines-papas-er-starb-ohne-erklaerung-66a5edfadfae2b64e0a739ed)
20:34:21	649/649	---M--	200	added ('OK')	image/png	etag:%2202c65229e91caaaa156c7c59a023a4d3:1721918407.050401%22	https://article.bildstatic.de/assets/static/favicon-32x32.9l2AjbPa.png	C:/My%20Web%20Sites/bild/article.bildstatic.de/assets/static/favicon-32x32.9l2AjbPa.png	(from https://m.bild.de/unterhaltung/stars-und-leute/tim-maelzer-spricht-ueber-den-ploetzlichen-tod-seines-papas-er-starb-ohne-erklaerung-66a5edfadfae2b64e0a739ed?t_ref=https%3A%2F%2Fwww.bild.de%2Funterhaltung%2Fstars-und-leute%2Ftim-maelzer-spricht-ueber-den-ploetzlichen-tod-seines-papas-er-starb-ohne-erklaerung-66a5edfadfae2b64e0a739ed)
20:34:21	741/741	---M--	200	added ('OK')	image/png	etag:%2285f8fe50250a5ab5de5610f5a0f2b839:1721918413.276122%22	https://article.bildstatic.de/assets/static/apple-touch-icon-bild-57x57.QWTkZRvu.png	C:/My%20Web%20Sites/bild/article.bildstatic.de/assets/static/apple-touch-icon-bild-57x57.QWTkZRvu.png	(from https://m.bild.de/unterhaltung/stars-und-leute/tim-maelzer-spricht-ueber-den-ploetzlichen-tod-seines-papas-er-starb-ohne-erklaerung-66a5edfadfae2b64e0a739ed?t_ref=https%3A%2F%2Fwww.bild.de%2Funterhaltung%2Fstars-und-leute%2Ftim-maelzer-spricht-ueber-den-ploetzlichen-tod-seines-papas-er-starb-ohne-erklaerung-66a5edfadfae2b64e0a739ed)
20:34:22	777/777	---M--	200	added ('OK')	image/png	etag:%220070292eab2c1efadc6c0ea8da884d36:1721381587.791492%22	https://article.bildstatic.de/assets/static/apple-touch-icon-bild-60x60.ofso5CIe.png	C:/My%20Web%20Sites/bild/article.bildstatic.de/assets/static/apple-touch-icon-bild-60x60.ofso5CIe.png	(from https://m.bild.de/unterhaltung/stars-und-leute/tim-maelzer-spricht-ueber-den-ploetzlichen-tod-seines-papas-er-starb-ohne-erklaerung-66a5edfadfae2b64e0a739ed?t_ref=https%3A%2F%2Fwww.bild.de%2Funterhaltung%2Fstars-und-leute%2Ftim-maelzer-spricht-ueber-den-ploetzlichen-tod-seines-papas-er-starb-ohne-erklaerung-66a5edfadfae2b64e0a739ed)
